TIPO_ELECCION,ANIO,ID_ESTADO,ID_MUNICIPIO,PARTIDO_CI,CANDIDATO,NOMBRE_FOTO
AYUNTAMIENTO,2021,22,5,PRD,ZACARIAS AVILA CORONA,zacarias_corona
AYUNTAMIENTO,2021,22,5,MC,CUAUHTEMOC ALEJANDRO RIOS LOPEZ,cuauhtemoc_lopez
AYUNTAMIENTO,2021,22,5,PVEM,JAVIER NAVARRETE DE LEON,javier_leon
AYUNTAMIENTO,2021,22,5,MORENA,DOMITILA LIRA ARREOLA,domitila_arreola
AYUNTAMIENTO,2021,22,5,PT,MARIA GABRIELA MORENO MAYORGA,maria_mayorga
AYUNTAMIENTO,2021,22,5,QI,JORGE RAMON HERNANDEZ MOYA,jorge_moya
AYUNTAMIENTO,2021,22,5,PES,ARTURO CASTANEDA OLALDE,arturo_olalde
AYUNTAMIENTO,2021,22,5,RSP,ADABALDO JESUS ROMERO SEGURA,adabaldo_segura
AYUNTAMIENTO,2021,22,5,FM,CRISTINA DEL LLANO FEREGRINO,cristina_feregrino
AYUNTAMIENTO,2021,22,5,IND,SAUL MORALES MORALES,saul_morales
AYUNTAMIENTO,2021,22,6,PRI,LUZ MARIA QUINTANAR FEREGRINO,luz_feregrino
AYUNTAMIENTO,2021,22,6,MC,GABRIELA GUDINO PEREZ,gabriela_perez
AYUNTAMIENTO,2021,22,6,PVEM,CELIA MARIANA ASCENCION VAZQUEZ,celia_vazquez
AYUNTAMIENTO,2021,22,6,PT,VENECIA MARIANA JIMENEZ VELAZQUEZ,venecia_velazquez
AYUNTAMIENTO,2021,22,6,PES,ANAYELI SOLANO VERDE,anayeli_verde
AYUNTAMIENTO,2021,22,6,RSP,MARGARITA FEREGRINO FEREGRINO,margarita_feregrino
AYUNTAMIENTO,2021,22,6,FM,FRANCIA NAYELI BONILLA MACIAS,francia_macias
AYUNTAMIENTO,2021,22,6,IND,IVAN RESENDIZ RAMIREZ,ivan_ramirez
AYUNTAMIENTO,2021,22,6,IND,DAVID JOVITO VEGA VEGA,david_vega
AYUNTAMIENTO,2021,22,6,PAN-PRD,MAGDA GUADALUPE PEREZ MONTES,magda_montes
AYUNTAMIENTO,2021,22,7,PAN,LETICIA SERVIN MOYA,leticia_moya
AYUNTAMIENTO,2021,22,7,PRI,BLANCA DIANA MARTINEZ JURADO,blanca_jurado
AYUNTAMIENTO,2021,22,7,PRD,MARIA ALMA ROSA HERNANDEZ TRENADO,maria_trenado
AYUNTAMIENTO,2021,22,7,MC,MARIA GUADALUPE FONSECA MORA,maria_mora
AYUNTAMIENTO,2021,22,7,PVEM,JUAN GUZMAN CABRERA,juan_cabrera
AYUNTAMIENTO,2021,22,7,MORENA,LUIS JAVIER GUTIERREZ CHILLON,luis_chillon
AYUNTAMIENTO,2021,22,7,QI,MARIA MAGDALENA HERNANDEZ ESPINOZA,maria_espinoza
AYUNTAMIENTO,2021,22,7,PES,GEORGINA ELIZABETH SAAVEDRA URIBE,georgina_uribe
AYUNTAMIENTO,2021,22,7,RSP,RUBEN LUNA MIRANDA,ruben_miranda
AYUNTAMIENTO,2021,22,7,FM,MARIO DANIEL ESPINOSA VALENCIA,mario_valencia
AYUNTAMIENTO,2021,22,7,IND,JOSE FILEMON GOMEZ LARA,jose_lara
AYUNTAMIENTO,2021,22,8,PAN,MARITZA PEDRAZA MAR,maritza_mar
AYUNTAMIENTO,2021,22,8,MC,MARIANE ARAIZA MARQUEZ,mariane_marquez
AYUNTAMIENTO,2021,22,8,QI,MARIA MARISOL ESTRADA AGUAS,maria_aguas
AYUNTAMIENTO,2021,22,8,RSP,ADELA MUNOZ MARTINEZ,adela_martinez
AYUNTAMIENTO,2021,22,8,FM,DIANA GARCIA PALESTINA,diana_palestina
AYUNTAMIENTO,2021,22,8,IND,JESUS URIBE YANEZ,jesus_yanez
AYUNTAMIENTO,2021,22,8,IND,EFRAIN MUNOZ COSME,efrain_cosme
AYUNTAMIENTO,2021,22,8,PRI-PVEM,KARINA CAREAGA PINEDA,karina_pineda
AYUNTAMIENTO,2021,22,9,PAN,MARINA PONCE CAMACHO,marina_camacho
AYUNTAMIENTO,2021,22,9,PRI,JHONATAN TREJO RAMIREZ,jhonatan_ramirez
AYUNTAMIENTO,2021,22,9,MC,SASILJA LETICIA DELGADO RODRIGUEZ,sasilja_rodriguez
AYUNTAMIENTO,2021,22,9,PVEM,LUZ VIVIANA OLVERA NUNEZ,luz_nunez
AYUNTAMIENTO,2021,22,9,MORENA,NORBERTO JIMENEZ OTERO,norberto_otero
AYUNTAMIENTO,2021,22,9,QI,MARAYANI PEREZ MARQUEZ,marayani_marquez
AYUNTAMIENTO,2021,22,9,FM,AQUILINA YANEZ MARTINEZ,aquilina_martinez
AYUNTAMIENTO,2021,22,10,PAN,ENRIQUE VEGA CARRILES,enrique_carriles
AYUNTAMIENTO,2021,22,10,PRI,MARIA GUADALUPE CARDENAS MOLINA,maria_molina
AYUNTAMIENTO,2021,22,10,PRD,MANUEL ALONSO BARREDO SANCHEZ,manuel_sanchez
AYUNTAMIENTO,2021,22,10,MC,EMILIO PEREZ MARTINEZ,emilio_martinez
AYUNTAMIENTO,2021,22,10,PVEM,MARIA DEL PILAR SARTI AVELAR,maria_avelar
AYUNTAMIENTO,2021,22,10,MORENA,JOSE GUADALUPE GARCIA RAMIREZ,jose_ramirez
AYUNTAMIENTO,2021,22,10,PT,HUGO JAVIER MARTINEZ BRIONES,hugo_briones
AYUNTAMIENTO,2021,22,10,QI,BERENICE PEREZ RUBI,berenice_rubi
AYUNTAMIENTO,2021,22,10,PES,SERGIO MOCTEZUMA ZARAZUA,sergio_zarazua
AYUNTAMIENTO,2021,22,10,RSP,SONIA JIMENEZ LOPEZ,sonia_lopez
AYUNTAMIENTO,2021,22,10,FM,SILVESTRE JAVIER MARTINEZ GUTIERREZ,silvestre_gutierrez
AYUNTAMIENTO,2021,22,11,PAN,ISIDRO AMARILDO BARCENAS RESENDIZ,isidro_resendiz
AYUNTAMIENTO,2021,22,11,PRI,MARTIN FIGUEROA OLVERA,martin_olvera
AYUNTAMIENTO,2021,22,11,PRD,JOSE LUIS RODRIGUEZ GOMEZ,jose_gomez
AYUNTAMIENTO,2021,22,11,MC,KARLA LIZETTE LANDEROS LOPEZ,karla_lopez
AYUNTAMIENTO,2021,22,11,PVEM,MARIA JULIA ORTA CENTENO,maria_centeno
AYUNTAMIENTO,2021,22,11,MORENA,JUANA PATRICIA OJEDA GRIFALDO,juana_grifaldo
AYUNTAMIENTO,2021,22,11,QI,MARIA LILIA PACHECO RIVERA,maria_rivera
AYUNTAMIENTO,2021,22,11,PES,ELIZABETH CHAVEZ CANAS,elizabeth_canas
AYUNTAMIENTO,2021,22,11,RSP,ALMA FABIOLA VELAZQUEZ MORALES,alma_morales
AYUNTAMIENTO,2021,22,11,FM,NORMA LIZBETH SOTO SANDOVAL,norma_sandoval
AYUNTAMIENTO,2021,22,11,IND,SERGIO HERNANDEZ URIBE,sergio_uribe
AYUNTAMIENTO,2021,22,12,PAN,JUAN CARLOS LINARES AGUILAR,juan_aguilar
AYUNTAMIENTO,2021,22,12,PRI,LILIA RAMIREZ TREJO,lilia_trejo
AYUNTAMIENTO,2021,22,12,PVEM,AGNOLI GARCIA ROSALES,agnoli_rosales
AYUNTAMIENTO,2021,22,12,MORENA,MA. GUADALUPE ALVARADO GONZALEZ,ma._gonzalez
AYUNTAMIENTO,2021,22,12,PES,ROSA MARIA HERNANDEZ RUBIO,rosa_rubio
AYUNTAMIENTO,2021,22,13,PAN,MARIA GUADALUPE RAMIREZ PLAZA,maria_plaza
AYUNTAMIENTO,2021,22,13,PRD,MA. MAGDALENA RESENDIZ JIMENEZ,ma._jimenez
AYUNTAMIENTO,2021,22,13,MC,AMADO HERRERA ALVAREZ,amado_alvarez
AYUNTAMIENTO,2021,22,13,FM,MA. CONSEPCION RESENDIZ VILLEDA,ma._villeda
AYUNTAMIENTO,2021,22,13,PRI-PVEM,ISIDRO GARAY PACHECO,isidro_pacheco
AYUNTAMIENTO,2021,22,13,PT-QI,ALFREDO AGUILAR VELAZQUEZ,alfredo_velazquez
AYUNTAMIENTO,2021,22,14,PRI,MARIA ALEMAN MUNOZ CASTILLO,maria_castillo
AYUNTAMIENTO,2021,22,14,PRD,CLARA VANESA GARFIAS ROJAS,clara_rojas
AYUNTAMIENTO,2021,22,14,MC,TERESITA CALZADA ROVIROSA,teresita_rovirosa
AYUNTAMIENTO,2021,22,14,PVEM,JAIME GARCIA ALCOCER,jaime_alcocer
AYUNTAMIENTO,2021,22,14,MORENA,ARTURO MAXIMILIANO GARCIA PEREZ,arturo_perez
AYUNTAMIENTO,2021,22,14,PT,WALTTER LOPEZ GONZALEZ,waltter_gonzalez
AYUNTAMIENTO,2021,22,14,PES,JOSE CARLOS MAYA JIMENEZ,jose_jimenez
AYUNTAMIENTO,2021,22,14,RSP,CARLOS ALBERTO RENTERIA RIVERA,carlos_rivera
AYUNTAMIENTO,2021,22,14,FM,J. JESUS LLAMAS CONTRERAS,j._contreras
AYUNTAMIENTO,2021,22,14,PAN-QUI,LUIS BERNARDO NAVA GUERRERO,luis_guerrero
AYUNTAMIENTO,2021,22,15,PRI,MA. IRMA TORRES MARTINEZ,ma._martinez
AYUNTAMIENTO,2021,22,15,PVEM,CARLOS MANUEL LEDESMA ROBLES,carlos_robles
AYUNTAMIENTO,2021,22,15,MORENA,MARIA GUADALUPE LEDESMA SANCHEZ,maria_sanchez
AYUNTAMIENTO,2021,22,15,IND,J. ERNESTO CRUZ TAVERA,j._tavera
AYUNTAMIENTO,2021,22,15,PAN-QUI,MARIANA GARDUNO ERREGUIN,mariana_erreguin
AYUNTAMIENTO,2021,22,16,PAN,ROBERTO CARLOS CABRERA VALENCIA,roberto_valencia
AYUNTAMIENTO,2021,22,16,PRI,GUSTAVO NIETO CHAVEZ,gustavo_chavez
AYUNTAMIENTO,2021,22,16,PRD,JAIRO IVAN PUENTE RAMIREZ,jairo_ramirez
AYUNTAMIENTO,2021,22,16,MC,GILBERTO ARIEL CECILIO ORTEGA MEJIA,gilberto_mejia
AYUNTAMIENTO,2021,22,16,PVEM,FERNANDO IRVIN MATAMOROS MENESES,fernando_meneses
AYUNTAMIENTO,2021,22,16,MORENA,ROSA MARIA RIOS GARCIA,rosa_garcia
AYUNTAMIENTO,2021,22,16,QI,ANTONIO JUAN CAMACHO RAMIREZ,antonio_ramirez
AYUNTAMIENTO,2021,22,16,PES,ARMANDO GUERRERO RESENDIZ,armando_resendiz
AYUNTAMIENTO,2021,22,16,RSP,ERIKA DEL ROSARIO ROSALES MORENO,erika_moreno
AYUNTAMIENTO,2021,22,16,FM,RICARDO BADILLO GONZALEZ,ricardo_gonzalez
AYUNTAMIENTO,2021,22,17,PAN,JOSE ALFONSO TREJO MORAN,jose_moran
AYUNTAMIENTO,2021,22,17,PRI,LUIS ANTONIO MACIAS TREJO,luis_trejo
AYUNTAMIENTO,2021,22,17,PRD,RAUL ORIHUELA GONZALEZ,raul_gonzalez
AYUNTAMIENTO,2021,22,17,PVEM,WENDY MARIA SEELDRAYERS IRACHETA,wendy_iracheta
AYUNTAMIENTO,2021,22,17,MORENA,HECTOR IVAN MAGANA RENTERIA,hector_renteria
AYUNTAMIENTO,2021,22,17,QI,KARLA MARTINEZ VALENZUELA,karla_valenzuela
AYUNTAMIENTO,2021,22,17,PES,MARIA GUADALUPE TORRES VILA,maria_vila
AYUNTAMIENTO,2021,22,17,RSP,ISAAC CASTRO SAHADE,isaac_sahade
AYUNTAMIENTO,2021,22,17,FM,KARLA LILIANA PINERA DOMINGUEZ,karla_dominguez
AYUNTAMIENTO,2021,22,17,IND,JOSE ANTONIO MEJIA LIRA,jose_lira
AYUNTAMIENTO,2021,22,18,PAN,MA. GUADALUPE ALCANTARA DE SANTIAGO,ma._santiago
AYUNTAMIENTO,2021,22,18,PRI,MIGUEL ANGEL HERRERA GUERRERO,miguel_guerrero
AYUNTAMIENTO,2021,22,18,PRD,MAGDALENA FEREGRINO VELAZQUEZ,magdalena_velazquez
AYUNTAMIENTO,2021,22,18,MC,JEHUDANIEL RESENDIZ MARTINEZ,jehudaniel_martinez
AYUNTAMIENTO,2021,22,18,PVEM,JONATHAN DE SANTIAGO MARTINEZ,jonathan_martinez
AYUNTAMIENTO,2021,22,18,MORENA,MARTIN JIMENEZ RAMOS,martin_ramos
AYUNTAMIENTO,2021,22,18,PT,ADRIAN LINARES AGUILAR,adrian_aguilar
AYUNTAMIENTO,2021,22,18,QI,JOSE PEREZ DONDIEGO,jose_dondiego
AYUNTAMIENTO,2021,22,18,PES,SABINO SANCHEZ MARTINEZ,sabino_martinez
AYUNTAMIENTO,2021,22,18,RSP,ALEJO SANCHEZ DE SANTIAGO,alejo_santiago
AYUNTAMIENTO,2021,22,18,FM,JAIME LOPEZ DE SANTIAGO,jaime_santiago
AYUNTAMIENTO,2021,22,18,IND,ANDRES SANCHEZ SANCHEZ,andres_sanchez
