TIPO_ELECCION,ANIO,ID_ESTADO,ID_MUNICIPIO,PARTIDO_CI,CANDIDATO,NOMBRE_FOTO
AYUNTAMIENTO,2021,22,1,PRI,RENE MEJIA MONTOYA,rene_montoya
AYUNTAMIENTO,2021,22,1,PRD,MARIA GUADALUPE OBREGON RODRIGUEZ,maria_rodriguez
AYUNTAMIENTO,2021,22,1,MC,MARTIN SOTO SOTO,martin_soto
AYUNTAMIENTO,2021,22,1,MORENA,ANGEL SANCHEZ VICENTE,angel_vicente
AYUNTAMIENTO,2021,22,1,PES,MA. ELENA FONSECA RUIZ,ma._ruiz
AYUNTAMIENTO,2021,22,1,RSP,JAIME HERNANDEZ RAMIREZ,jaime_ramirez
AYUNTAMIENTO,2021,22,1,FM,ROSARIO RAQUEL ESCOBAR ROSQUERO,rosario_rosquero
AYUNTAMIENTO,2021,22,1,PAN-QUI,VERONICA HERNANDEZ FLORES,veronica_flores
AYUNTAMIENTO,2021,22,1,PVEM-PT,IMELDA GARCIA UGALDE,imelda_ugalde
AYUNTAMIENTO,2021,22,2,PAN,MA. FRANCISCA ESCAMILLA ZARATE,ma._zarate
AYUNTAMIENTO,2021,22,2,MORENA,OFELIA DEL CASTILLO GUILLEN,ofelia_guillen
AYUNTAMIENTO,2021,22,2,FM,LETICIA TELLO CORONA,leticia_corona
AYUNTAMIENTO,2021,22,2,IND,JUAN ANTONIO TORRES BALDERAS,juan_balderas
AYUNTAMIENTO,2021,22,2,PRI-PVEM,ILIANA GUADALUPE MONTES RIOS,iliana_rios
AYUNTAMIENTO,2021,22,3,PAN,MIGUEL MARTINEZ PENALOZA,miguel_penaloza
AYUNTAMIENTO,2021,22,3,PRI,CARLOTA LEDESMA LEAL,carlota_leal
AYUNTAMIENTO,2021,22,3,PRD,JAIME HERNANDEZ VELAZQUEZ,jaime_velazquez
AYUNTAMIENTO,2021,22,3,PVEM,MIGUEL ANGEL LEAL CISNEROS,miguel_cisneros
AYUNTAMIENTO,2021,22,3,MORENA,MARLEN OCAMPO ROJO,marlen_rojo
AYUNTAMIENTO,2021,22,3,QI,HELIDA MARTINEZ GUDINO,helida_gudino
AYUNTAMIENTO,2021,22,3,RSP,MYRIAM LIZZETH GUARDADO HURTADO,myriam_hurtado
AYUNTAMIENTO,2021,22,3,FM,ADAN GONZALEZ TORRES,adan_torres
AYUNTAMIENTO,2021,22,4,PRI,MANUEL MONTES HERNANDEZ,manuel_hernandez
AYUNTAMIENTO,2021,22,4,PRD,TERESA IBARRA HILARIO,teresa_hilario
AYUNTAMIENTO,2021,22,4,MC,MIREYA IBARRA CASAS,mireya_casas
AYUNTAMIENTO,2021,22,4,PVEM,KAREN MOLINA AGUILERA,karen_aguilera
AYUNTAMIENTO,2021,22,4,MORENA,MARIA DEL ROCIO ARREDONDO AMEZCUA,maria_amezcua
AYUNTAMIENTO,2021,22,4,PES,LUIS CURIEL MEJIA,luis_mejia
AYUNTAMIENTO,2021,22,4,RSP,M. NORMA HERRERA OLVERA,m._olvera
AYUNTAMIENTO,2021,22,4,FM,JOSE LUIS OSORNIO PONCE,jose_ponce
AYUNTAMIENTO,2021,22,4,IND,GASPAR RAMON TRUEBA MONCADA,gaspar_moncada
AYUNTAMIENTO,2021,22,4,PAN-QUI,LEOPOLDO BARCENAS HERNANDEZ,leopoldo_hernandez
AYUNTAMIENTO,2021,22,5,PAN,ROBERTO SOSA PICHARDO,roberto_pichardo
AYUNTAMIENTO,2021,22,5,PRI,HECTOR RICARDO GONZALEZ FLORES,hector_flores
