TIPO_ELECCION,ANIO,ID_ESTADO,ID_MUNICIPIO,PARTIDO_CI,CANDIDATO,NOMBRE_FOTO
AYUNTAMIENTO,2018,22,7,PRI,GRISELDA PINEDA FEREGRINO,griselda_feregrino
AYUNTAMIENTO,2018,22,7,PRD,MAGDA GUADALUPE PEREZ MONTES,magda_montes
AYUNTAMIENTO,2018,22,7,MC,MAGDA GUADALUPE PEREZ MONTES,magda_montes
AYUNTAMIENTO,2018,22,7,,JOSE HERNANDEZ RODRIGUEZ,jose_rodriguez
AYUNTAMIENTO,2018,22,7,PVEM,JOSE ORLANDO MONTES VELAZQUEZ,jose_velazquez
AYUNTAMIENTO,2018,22,7,QI,LILIA ZUÑIGA RESENDIZ,lilia_resendiz
AYUNTAMIENTO,2018,22,7,MORENA-PT-PES,ELVIA MONTES TREJO,elvia_trejo
AYUNTAMIENTO,2018,22,8,PAN,LETICIA SERVIN MOYA,leticia_moya
AYUNTAMIENTO,2018,22,8,PRI,CELIA DURAN TERRAZAS,celia_terrazas
AYUNTAMIENTO,2018,22,8,PRD,LETICIA SERVIN MOYA,leticia_moya
AYUNTAMIENTO,2018,22,8,MC,JUNIO JESUS LEON VELAZQUEZ,junio_velazquez
AYUNTAMIENTO,2018,22,8,,MA. CAROLINA PEREZ ARIAS,ma._arias
AYUNTAMIENTO,2018,22,8,PVEM,JOSE DE JESUS MIER BARBOSA,jose_barbosa
AYUNTAMIENTO,2018,22,8,PES,MIGUEL ANGEL CAMACHO ZALDIVAR,miguel_zaldivar
AYUNTAMIENTO,2018,22,8,MORENA,MA. GUADALUPE VAZQUEZ MIRANDA,ma._miranda
AYUNTAMIENTO,2018,22,8,PT,ESTEFANIA VAZQUEZ GALVAN,estefania_galvan
AYUNTAMIENTO,2018,22,8,CQ,NELI DEL CARMEN TAVAREZ ARREOLA,neli_arreola
AYUNTAMIENTO,2018,22,8,QI,AMERICA RAMIREZ MAGAÑA,america_magaña
AYUNTAMIENTO,2018,22,9,PAN,LIZ SELENE SALAZAR PEREZ,liz_perez
AYUNTAMIENTO,2018,22,9,PRI,CELIA AMADOR ENRIQUEZ,celia_enriquez
AYUNTAMIENTO,2018,22,9,PRD,LIZ SELENE SALAZAR PEREZ,liz_perez
AYUNTAMIENTO,2018,22,9,MC,LIZ SELENE SALAZAR PEREZ,liz_perez
AYUNTAMIENTO,2018,22,9,,MA. GUADALUPE CARDONA BENITEZ,ma._benitez
AYUNTAMIENTO,2018,22,9,PVEM,CELIA AMADOR ENRIQUEZ,celia_enriquez
AYUNTAMIENTO,2018,22,9,MORENA,ADIEL ACOSTA GARCIA,adiel_garcia
AYUNTAMIENTO,2018,22,9,PT,GUILLERMO ROCHA PEDRAZA,guillermo_pedraza
AYUNTAMIENTO,2018,22,9,CQ,PLACIDA MARTINEZ PEREZ,placida_perez
AYUNTAMIENTO,2018,22,17,IND,JOSE ANTONIO MEJIA LIRA,jose_lira
AYUNTAMIENTO,2018,22,10,PAN,MARINA PONCE CAMACHO,marina_camacho
AYUNTAMIENTO,2018,22,10,PRI,EVA MALDONADO HERNANDEZ,eva_hernandez
AYUNTAMIENTO,2018,22,10,PRD,MARINA PONCE CAMACHO,marina_camacho
AYUNTAMIENTO,2018,22,10,MC,MARINA PONCE CAMACHO,marina_camacho
AYUNTAMIENTO,2018,22,10,,ANGEL HIDALGO RUBIO,angel_rubio
AYUNTAMIENTO,2018,22,10,PVEM,EVA MALDONADO HERNANDEZ,eva_hernandez
AYUNTAMIENTO,2018,22,10,CQ,PEDRO SIERRA PEREZ,pedro_perez
AYUNTAMIENTO,2018,22,10,MORENA-PT-PES,ABIGAIL CORTES MARQUEZ,abigail_marquez
AYUNTAMIENTO,2018,22,11,PAN,ISIDRO AMARILDO BARCENAS RESENDIZ,isidro_resendiz
AYUNTAMIENTO,2018,22,11,PRI,ALONSO LANDEROS TEJEIDA,alonso_tejeida
AYUNTAMIENTO,2018,22,11,PRD,ISIDRO AMARILDO BARCENAS RESENDIZ,isidro_resendiz
AYUNTAMIENTO,2018,22,11,,AMELIA VILLAZANA OLVERA,amelia_olvera
AYUNTAMIENTO,2018,22,11,PVEM,LILI MARLEN AGUILAR CHAVEZ,lili_chavez
AYUNTAMIENTO,2018,22,11,PES,MA. LETICIA ATANACIO URIBE,ma._uribe
AYUNTAMIENTO,2018,22,11,MORENA,MARINA SIXTOS SILVA,marina_silva
AYUNTAMIENTO,2018,22,11,PT,ABELARDO TORRES OROZCO,abelardo_orozco
