TIPO_ELECCION,ANIO,ID_ESTADO,ID_MUNICIPIO,PARTIDO_CI,CANDIDATO,NOMBRE_FOTO
AYUNTAMIENTO,2024,22,1,PRD,ALEJANDRA GARCIA SANTIAGO,alejandra_santiago
AYUNTAMIENTO,2024,22,1,MC,OSCAR PEREZ MARTINEZ,oscar_martinez
AYUNTAMIENTO,2024,22,1,PQS,HERMINIA FLORES BERMUDEZ,herminia_bermudez
AYUNTAMIENTO,2024,22,1,PVEM-MORENA-PT,MA. DE LA LUZ GARCIA SANTIAGO,ma._santiago
AYUNTAMIENTO,2024,22,1,PAN-PRI,RENE MEJIA MONTOYA,rene_montoya
AYUNTAMIENTO,2024,22,2,PRI,FERNANDO SANCHEZ GIL,fernando_gil
AYUNTAMIENTO,2024,22,2,PVEM,EDGAR HUERTA BOTELLO,edgar_botello
AYUNTAMIENTO,2024,22,2,MORENA,OFELIA DEL CASTILLO GUILLEN,ofelia_guillen
AYUNTAMIENTO,2024,22,2,PT,CIPRIANO SUAREZ OLVERA,cipriano_olvera
AYUNTAMIENTO,2024,22,2,PAN-PRD,ARCELIA MENDEZ VAZQUEZ,arcelia_vazquez
AYUNTAMIENTO,2024,22,3,PRD,GABRIELA ALEGRIA RAMIREZ,gabriela_ramirez
AYUNTAMIENTO,2024,22,3,MC,GUADALUPE PATRICIA LEDESMA ROMERO,guadalupe_romero
AYUNTAMIENTO,2024,22,3,PVEM,LAURA ALEXA HERNANDEZ BALBOA,laura_balboa
AYUNTAMIENTO,2024,22,3,MORENA,ASTRID ALEJANDRA ORTEGA VAZQUEZ,astrid_vazquez
AYUNTAMIENTO,2024,22,3,PT,MARISSA VAZQUEZ MORAN,marissa_moran
AYUNTAMIENTO,2024,22,3,PQS,JOSE MANUEL RUIZ MAQUEDA,jose_maqueda
AYUNTAMIENTO,2024,22,3,PAN-PRI,MIGUEL MARTINEZ PENALOZA,miguel_penaloza
AYUNTAMIENTO,2024,22,4,MC,GASPAR RAMON TRUEBA MONCADA,gaspar_moncada
AYUNTAMIENTO,2024,22,4,PVEM,SOCRATES ALEJANDRO VALDEZ ROSALES,socrates_rosales
AYUNTAMIENTO,2024,22,4,MORENA,NANCY URIBE CARBAJAL,nancy_carbajal
AYUNTAMIENTO,2024,22,4,PT,MARIA HERNANDEZ URIBE,maria_uribe
AYUNTAMIENTO,2024,22,4,PQS,JOSE HUGO CABRERA RUIZ,jose_ruiz
AYUNTAMIENTO,2024,22,17,IND,ANDRES TREJO VALENCIA,andres_valencia
AYUNTAMIENTO,2024,22,8,IND,EFRAIN MUNOZ COSME,efrain_cosme
AYUNTAMIENTO,2024,22,4,PAN-PRI-PRD,MANUEL MONTES HERNANDEZ,manuel_hernandez
AYUNTAMIENTO,2024,22,5,PAN,JOSUE DAVID GUERRERO TRAPALA,josue_trapala
AYUNTAMIENTO,2024,22,5,PRI,ELIZABETH ANA YELY OLVERA AGUILAR,elizabeth_aguilar
AYUNTAMIENTO,2024,22,5,PRD,MARIA LIZBETH OLVERA DE JESUS,maria_jesus
AYUNTAMIENTO,2024,22,5,MC,NORA HILDA AMAYA LLACA,nora_llaca
AYUNTAMIENTO,2024,22,5,PVEM,LAURA ALEJANDRA ARROYO NAVARRETE,laura_navarrete
AYUNTAMIENTO,2024,22,5,PQS,MARIA GABRIELA MORENO MAYORGA,maria_mayorga
AYUNTAMIENTO,2024,22,5,MORENA-PT,MIREYA MARITZA FERNANDEZ ACEVEDO,mireya_acevedo
