Municipio,Presidente Municipal,Partido
Amealco de Bonfil,Óscar Pérez Martínez,Movimiento Ciudadano
Pinal de Amoles,María Guadalupe Ramírez Plaza,Partido Acción Nacional
Arroyo Seco,Fernando Sánchez Gil,Partido Revolucionario Institucional
Cadereyta de Montes,Astrid Alejandra Ortega Vázquez,Movimiento Regeneración Nacional
Colón,Gaspar Ramón Trueba Moncada,Movimiento Ciudadano
Corregidora,Josué David Guerrero Trápala,Partido Acción Nacional
Ezequiel Montes,Iván Resendiz Ramírez,Movimiento Regeneración Nacional
Huimilpan,Jairo Iván Morales Martínez,Partido Acción Nacional
Jalpan de Serra,Rubén Hernández Robles,Candidato independiente
Landa de Matamoros,Yunuen Araceli Benítez Maldonado,Partido Revolucionario Institucional
El Marqués,Rodrigo Monsalvo Castelán,Partido Acción Nacional
Pedro Escobedo,Juan Alberto Nava Cruz,Movimiento Regeneración Nacional
Peñamiller,Ana Karen Jiménez Guillén,Partido Acción Nacional
Querétaro,Felipe Fernando Macías Olvera,Partido Acción Nacional
San Joaquín,Carlos Manuel Ledesma Robles,Partido Verde Ecologista de México
San Juan del Río,Roberto Carlos Cabrera Valencia,Partido Acción Nacional
Tequisquiapan,Héctor Iván Magaña Rentería,Movimiento Regeneración Nacional
Tolimán,Alejo Sánchez de Santiago,Partido Verde Ecologista de México
