Municipio,Presidente Municipal,Partido
Amealco de Bonfil,Rosendo Anaya Aguilar,Partido Acción Nacional
Pinal de Amoles,Isidro Garay Pacheco,Partido Revolucionario Institucional
Arroyo Seco,Iliana Guadalupe Montes Ríos,Partido Revolucionario Institucional
Cadereyta de Montes,León Enrique Bolaño Mendoza,Partido Acción Nacional
Colón,José Alejandro Ochoa Valencia,Partido Acción Nacional
Corregidora,Roberto Sosa Pichardo,Partido Acción Nacional
Ezequiel Montes,Elvia Montes Trejo,Movimiento Regeneración Nacional
Huimilpan,Leticia Servín Moya,Partido Acción Nacional
Jalpan de Serra,Celia Amador Enríquez,Partido Revolucionario Institucional
Landa de Matamoros,Marina Ponce Camacho,Partido Acción Nacional
El Marqués,Enrique Vega Carriles,Partido Acción Nacional
Pedro Escobedo,Isidro Amarildo Bárcenas Reséndiz,Partido Acción Nacional
Peñamiller,Juan Carlos Linares Aguilar,Nueva Alianza
Querétaro,Luis Bernardo Nava Guerrero,Partido Acción Nacional
San Joaquín,Belén Ledezma Ledezma,Independiente
San Juan del Río,Guillermo Vega Guerrero,Partido Acción Nacional
Tequisquiapan,José Antonio Mejía Lira,Independiente
Tolimán,María Guadalupe Alcántara de Santiago,Partido Acción Nacional
