#,CVE_ENTIDAD,ENTIDAD,CU_MUNICIPIO,MUNICIPIO,DF,DL,SECCION,LISTA_NOMINAL,VOTOS_EMITIDOS,PARTICIPACION,ABSTENCION,1ER_LUGAR,1ERO_VOTOS,PCN,DIF_VOTOS_2DO,DIF_PCN_2DO,2DO_LUGAR,2DO_VOTOS,PCN 2,DIF_VOTOS_3RO,DIF_PCN_3RO,3ER_LUGAR,3RO_VOTOS,PCN 3,1PP_MV,VOTOS,PCN 4,DIF_2DO,PCN 5,2PP_MV,VOTOS 2,PCN 6,DIF_3RO,PCN 7,3PP_MV,VOTOS 3,PCN 8,PAN,PCN 9,PRI,PCN 10,PRD,PCN 11,MC,PCN 12,PVEM,PCN 13,MORENA,PCN 14,PT,PCN 15,QI,PCN 16,PES,PCN 17,RSP,PCN 18,FxM,PCN 19,PAN_QI,PCN 20,CNR,PCN 21,NULOS,PCN 22,TOT_VOTOS,VALIDACION
115,22,QUERÉTARO,5,CORREGIDORA,,7,119,1.577,771,"0,49","0,51",PAN,349,"0,45",159,"0,21",PRI,190,"0,25",66,"0,09",MORENA,124,"0,16",PAN,349,"0,45",159,"0,21",PRI,190,"0,25",66,"0,09",MORENA,124,"0,16",349,"0,45",190,"0,25",5,"0,01",15,"0,02",18,"0,02",124,"0,16",3,"0,00",12,"0,02",4,"0,01",12,"0,02",10,"0,01",1,0,0,"0,00",28,"0,04",771,"100,00%"
116,22,QUERÉTARO,5,CORREGIDORA,,7,120,3.125,1.471,"0,47","0,53",PAN,506,"0,34",63,"0,04",MORENA,443,"0,30",197,"0,13",PRI,246,"0,17",PAN,506,"0,34",63,"0,04",MORENA,443,"0,30",197,"0,13",PRI,246,"0,17",506,"0,34",246,"0,17",19,"0,01",33,"0,02",87,"0,06",443,"0,30",21,"0,01",7,"0,00",23,"0,02",23,"0,02",14,"0,01",3,0,1,"0,00",45,"0,03",1.471,"100,00%"
117,22,QUERÉTARO,5,CORREGIDORA,,7,121,3.515,1.416,"0,40","0,60",PAN,664,"0,47",370,"0,26",MORENA,294,"0,21",118,"0,08",PRI,176,"0,12",PAN,664,"0,47",370,"0,26",MORENA,294,"0,21",118,"0,08",PRI,176,"0,12",664,"0,47",176,"0,12",12,"0,01",40,"0,03",83,"0,06",294,"0,21",13,"0,01",22,"0,02",14,"0,01",23,"0,02",12,"0,01",12,0,1,"0,00",50,"0,04",1.416,"100,00%"
118,22,QUERÉTARO,6,EZEQUIEL MONTES,,14,122,2.083,1.169,"0,56","0,44",PAN,731,"0,63",551,"0,47",MORENA,180,"0,15",58,"0,05",PRI,122,"0,10",PAN,731,"0,63",551,"0,47",MORENA,180,"0,15",58,"0,05",PRI,122,"0,10",731,"0,63",122,"0,10",4,"0,00",11,"0,01",20,"0,02",180,"0,15",9,"0,01",22,"0,02",3,"0,00",6,"0,01",5,"0,00",20,0,1,"0,00",35,"0,03",1.169,"100,00%"
119,22,QUERÉTARO,6,EZEQUIEL MONTES,,14,123,1.659,1.032,"0,62","0,38",PAN,569,"0,55",367,"0,36",MORENA,202,"0,20",68,"0,07",PRI,134,"0,13",PAN,569,"0,55",367,"0,36",MORENA,202,"0,20",68,"0,07",PRI,134,"0,13",569,"0,55",134,"0,13",4,"0,00",14,"0,01",11,"0,01",202,"0,20",12,"0,01",22,"0,02",6,"0,01",11,"0,01",5,"0,00",16,0,0,"0,00",26,"0,03",1.032,"100,00%"
120,22,QUERÉTARO,6,EZEQUIEL MONTES,,14,124,2.209,1.264,"0,57","0,43",PAN,688,"0,54",420,"0,33",MORENA,268,"0,21",111,"0,09",PRI,157,"0,12",PAN,688,"0,54",420,"0,33",MORENA,268,"0,21",111,"0,09",PRI,157,"0,12",688,"0,54",157,"0,12",8,"0,01",21,"0,02",22,"0,02",268,"0,21",7,"0,01",17,"0,01",12,"0,01",10,"0,01",15,"0,01",10,0,0,"0,00",29,"0,02",1.264,"100,00%"
121,22,QUERÉTARO,6,EZEQUIEL MONTES,,14,125,1.280,850,"0,66","0,34",PAN,516,"0,61",378,"0,44",MORENA,138,"0,16",34,"0,04",PRI,104,"0,12",PAN,516,"0,61",378,"0,44",MORENA,138,"0,16",34,"0,04",PRI,104,"0,12",516,"0,61",104,"0,12",2,"0,00",15,"0,02",14,"0,02",138,"0,16",3,"0,00",13,"0,02",7,"0,01",6,"0,01",6,"0,01",12,0,0,"0,00",14,"0,02",850,"100,00%"
122,22,QUERÉTARO,6,EZEQUIEL MONTES,,14,126,1.225,684,"0,56","0,44",PAN,388,"0,57",271,"0,40",MORENA,117,"0,17",34,"0,05",PRI,83,"0,12",PAN,388,"0,57",271,"0,40",MORENA,117,"0,17",34,"0,05",PRI,83,"0,12",388,"0,57",83,"0,12",2,"0,00",12,"0,02",13,"0,02",117,"0,17",3,"0,00",5,"0,01",3,"0,00",16,"0,02",5,"0,01",4,0,6,"0,01",27,"0,04",684,"100,00%"
123,22,QUERÉTARO,6,EZEQUIEL MONTES,,14,127,3.419,2.030,"0,59","0,41",PAN,1.257,"0,62",905,"0,45",MORENA,352,"0,17",141,"0,07",PRI,211,"0,10",PAN,1.257,"0,62",905,"0,45",MORENA,352,"0,17",141,"0,07",PRI,211,"0,10",1.257,"0,62",211,"0,10",12,"0,01",37,"0,02",27,"0,01",352,"0,17",13,"0,01",29,"0,01",11,"0,01",15,"0,01",11,"0,01",21,0,0,"0,00",34,"0,02",2.030,"100,00%"
124,22,QUERÉTARO,6,EZEQUIEL MONTES,,14,128,4.143,2.502,"0,60","0,40",PAN,1.591,"0,64",1.213,"0,48",MORENA,378,"0,15",123,"0,05",PRI,255,"0,10",PAN,1.591,"0,64",1.213,"0,48",MORENA,378,"0,15",123,"0,05",PRI,255,"0,10",1.591,"0,64",255,"0,10",9,"0,00",29,"0,01",54,"0,02",378,"0,15",17,"0,01",29,"0,01",24,"0,01",11,"0,00",21,"0,01",12,0,1,"0,00",71,"0,03",2.502,"100,00%"
125,22,QUERÉTARO,6,EZEQUIEL MONTES,,14,129,1.275,836,"0,66","0,34",PAN,596,"0,71",482,"0,58",MORENA,114,"0,14",43,"0,05",PRI,71,"0,08",PAN,596,"0,71",482,"0,58",MORENA,114,"0,14",43,"0,05",PRI,71,"0,08",596,"0,71",71,"0,08",3,"0,00",2,"0,00",9,"0,01",114,"0,14",2,"0,00",5,"0,01",1,"0,00",3,"0,00",1,"0,00",8,0,0,"0,00",21,"0,03",836,"100,00%"
126,22,QUERÉTARO,6,EZEQUIEL MONTES,,14,130,2.079,1.677,"0,81","0,19",PAN,1.191,"0,71",1.010,"0,60",PRI,181,"0,11",44,"0,03",MORENA,137,"0,08",PAN,1.191,"0,71",1.010,"0,60",PRI,181,"0,11",44,"0,03",MORENA,137,"0,08",1.191,"0,71",181,"0,11",9,"0,01",13,"0,01",24,"0,01",137,"0,08",8,"0,00",22,"0,01",7,"0,00",20,"0,01",2,"0,00",20,0,0,"0,00",43,"0,03",1.677,"100,00%"
127,22,QUERÉTARO,6,EZEQUIEL MONTES,,14,131,1.900,1.158,"0,61","0,39",PAN,888,"0,77",762,"0,66",PRI,126,"0,11",70,"0,06",MORENA,56,"0,05",PAN,888,"0,77",762,"0,66",PRI,126,"0,11",70,"0,06",MORENA,56,"0,05",888,"0,77",126,"0,11",1,"0,00",6,"0,01",5,"0,00",56,"0,05",7,"0,01",19,"0,02",1,"0,00",5,"0,00",2,"0,00",11,0,0,"0,00",31,"0,03",1.158,"100,00%"
128,22,QUERÉTARO,6,EZEQUIEL MONTES,,14,132,1.456,916,"0,63","0,37",PAN,602,"0,66",468,"0,51",MORENA,134,"0,15",68,"0,07",PRI,66,"0,07",PAN,602,"0,66",468,"0,51",MORENA,134,"0,15",68,"0,07",PRI,66,"0,07",602,"0,66",66,"0,07",5,"0,01",24,"0,03",18,"0,02",134,"0,15",6,"0,01",22,"0,02",4,"0,00",4,"0,00",5,"0,01",10,0,0,"0,00",16,"0,02",916,"100,00%"
129,22,QUERÉTARO,6,EZEQUIEL MONTES,,14,133,2.567,1.550,"0,60","0,40",PAN,827,"0,53",517,"0,33",MORENA,310,"0,20",165,"0,11",PRI,145,"0,09",PAN,827,"0,53",517,"0,33",MORENA,310,"0,20",165,"0,11",PRI,145,"0,09",827,"0,53",145,"0,09",9,"0,01",29,"0,02",54,"0,03",310,"0,20",15,"0,01",32,"0,02",16,"0,01",15,"0,01",11,"0,01",9,0,2,"0,00",76,"0,05",1.550,"100,00%"
